title,year,abstract,journal,authors
Application of machine learning for predicting shallow geothermal temperatures,2024,"other than those specified, have fully and truthfully reported the use of generative methods  and models of artificial intelligence, and did not otherwise use any other unauthorized aids.",NA,['V Skosareva']
Machine Learning on Geothermal Heat Extraction,2021,"2 Machine Learning This section will discuss what machine learning is, the various ’types’  of machine learning  describe the implementation of some of the machine learning methods.",NA,['C Sitvast']
Predicting the geothermal gradient in Colombia: A machine learning approach,2024,"geothermal resources, large regions of the country lack gradient measurements. This study  introduces a machine learning approach to estimate the geothermal  a geothermal gradient",Geothermics,"['JC Mejía-Fragoso', 'MA Flórez', 'R Bernal-Olaya']"
Data Curation for Machine Learning Applied to Geothermal Power Plant Operational Data for GOOML: Geothermal Operational Optimization with Machine Learning,2022,"power plants investigated, GOOML has accurately described all three geothermal systems  without  1.3 Data-Centric Artificial Intelligence (AI) Data-centric artificial intelligence (AI) is a",NA,"['N Taverna', 'G Buster', 'J Huggins', 'M Rossol', 'P Siratovich']"
Thermal and mechanical properties of demolition wastes in geothermal pavements by experimental and machine learning techniques,2021,"parameters affecting the design of geothermal pavements.  involving transfer of heat, such  as geothermal pavements.  experimental analysis and artificial intelligence modeling. The",… and Building Materials,"['B Ghorbani', 'A Arulrajah', 'G Narsilio']"
"Assessment of regional-scale geothermal production based on a hybrid deep learning model: A case study of the southern Songliao Basin, China",2024,"assessment of geothermal production potential. Furthermore, using the geothermal reservoir  of  Basin as an example, prediction of geothermal production potential based on the hybrid",Renewable Energy,"['W Yang', 'C Xiao', 'X Liang']"
rOGER: A method for determining the geothermal potential in urban areas,2024,"Conversely, it is impossible to extract from an Artificial Intelligence algorithm the relationship  that links input parameters to the output. Furthermore, the relationship that governs the",Geothermics,"['M Baralis', 'M Barla']"
Physics-informed neural network for inverse modeling of natural-state geothermal systems,2023,existing machine learning approaches. As permeability investigations in geothermal wells   This study demonstrated for the first time the usefulness of the PINN to a geothermal energy,Applied Energy,"['K Ishitsuka', 'W Lin']"
Lithofacies classification of a geothermal reservoir in Denmark and its facies-dependent porosity estimation from seismic inversion,2020,"of geothermal reservoirs is an important step for exploration and development of geothermal   beyond well locations on a potential geothermal reservoir in the north of Copenhagen,",Geothermics,"['R Feng', 'N Balling', 'D Grana']"
Discovering Hidden Geothermal Signatures using Unsupervised Machine Learning,2021,"geothermal data attributes, and (2) identify important easy-to-measure attributes that can be  applied to estimate geothermal  that incorporates artificial intelligence and machine learning (",NA,"['VV Vesselinov', 'B Ahmmed', 'MK Mudunuru', 'JD Pepin']"
Sequentially optimized data acquisition for a geothermal reservoir,2024,"large-scale multi-well geothermal projects. Our approach reformulates geothermal assessment  as a  Applied to a real-world low-enthalpy geothermal project in Austria, our methodology",Geothermics,"['A Corso', 'M Chiotoroiu', 'T Clemens', 'M Zechner']"
Characterization of a carbonate geothermal reservoir using rock-physics-guided deep neural networks,2021,of 2D poststack seismic lines to characterize a geothermal reservoir located in the Dogger   existing geothermal wells and ultimately guide the location and design of future geothermal,The Leading …,"['F Allo', 'JP Coulon', 'JL Formento', 'R Reboul']"
4E analysis and machine learning optimization of a geothermal-based system integrated with ejector refrigeration cycle for efficient hydrogen production and …,2023,This study presents a new geothermal-based system for power generation and liquid   The ejector refrigeration cycle not only uses geothermal waste heat but also facilitates the,International Journal of …,"['AG Sangesaraki', 'A Gharehghani']"
Geothermal Production from Existing Oil and Gas Wells: A Sustainable Repurposing Model,2021,"to convert mature oil and gas wells into geothermal wells, enabling both operational and   wells to geothermal production. These components are evaluated using artificial intelligence (AI",Abu Dhabi …,"['OM Molina', 'C Mejia', 'M Tyagi', 'F Medellin']"
Application of artificial intelligence techniques in prediction of energetic performance of a hybrid system consisting of an earth-air heat exchanger and a building …,2021,"Geothermal energy is another type of renewable energy which comes from the heat within  the earth [17]. It has two main advantages: the first is its availability around-the-clock, and the",Journal of Solar …,"['A Shahsavar', 'SA Bagherzadeh']"
An approach for predicting geothermal reservoirs distribution using wavelet transform and self-organizing neural network: a case study of radon and CSAMT data from …,2022,"geothermal resources. To improve the prediction accuracy, we constructed an approach  for predicting geothermal  the classification results of the geothermal reservoirs. Finally, we",… and Geophysics for Geo …,"['K Zhang', 'N Lin', 'X Wan', 'J Yang', 'X Wang']"
Stuck Pipe Detection For North Sumatera Geothermal Drilling Operation Using Artificial Neural Network,2022,Although researches have been made to build systems employing artificial intelligence (AI)   done for geothermal drilling operations. This paper describes a study that employed Artificial,Jurnal …,"['S Sarwono', 'L Lukas', 'MA Kartawidjaja']"
"Enabling Efficient Surveillance, Control, and Automation of Geothermal Operations with Advanced Predictive Analytics",2024,"Automation and control of geothermal energy production and  geothermal systems, predicting  the behavior of geothermal  of energy production operations in geothermal reservoirs. The",NA,['B Jafarpour']
Bio-inspired model of ground temperature behavior on the horizontal geothermal exchanger of an installation based on a heat pump,2015,"Usually, with the aim to increase the efficiency, a geothermal heat exchanger is added to  the  Geothermal system under study This section gives a description of the real geothermal",Neurocomputing,"['JL Casteleiro-Roca', 'JL Calvo-Rolle']"
Spatial pattern of the seismicity induced by geothermal operations at the Geysers (California) inferred by unsupervised machine learning,2024,"geothermal field (California) as a function of time and space over a decade. We grouped  parts of the volume of the geothermal  from the center of the geothermal area outwards, and a",IEEE Transactions on Geoscience …,"['M Palo', 'E Ogliari', 'M Sakwa']"
Prediction of scaling location of fluid in geothermal well based on BP artificial neural network,2022,There are often problems in geothermal wellbore that its production capacity of  geothermal fluids decreases or even cannot be produced due to the scaling of geothermal fluids,Chemical Industry and …,"['LI Shuai', 'LIU Mingyan', 'MA Yongli']"
Identification of Geothermal Reservoir Determination using Artificial Neural Network (ANN),2018,"In this paper, we forecasting the potential of geothermal wells using  on geothermal wells  using ANN, where temperature (T) and pressure (P) represent the conditions of the geothermal",2018 2nd East Indonesia Conference …,"['HS Pakpahan', 'M Wati']"
Machine learning reveals cyclic changes in seismic source spectra in Geysers geothermal field,2018,"geothermal field, in Sonoma and Lake Counties, CA, one of the largest (~800 MW) and  longest-running geothermal  highest rates of seismicity in a geothermal field, with ~ 15,000 events/",Science …,"['BK Holtzman', 'A Paté', 'J Paisley', 'F Waldhauser']"
Characterising and predicting low discharge pressure events in less permeable geothermal production wells,2023,"More recently, the adoption of artificial intelligence and other big data analytics methodologies  has increased in the geothermal space, resulting in promising pilot tests to understand",Geothermics,"['PMB Abrasaldo', 'SJ Zarrouk', 'AW Kempa-Liehr']"
Uncertainty and risk evaluation during the exploration stage of geothermal development: A review,2019,"within the geothermal community about: which geothermal  for the advancement of the  geothermal energy industry.  techniques that are applicable to geothermal exploration. In general,",Geothermics,"['JB Witter', 'WJ Trainor-Guitton', 'DL Siler']"
Optimizing geothermal reservoir modeling: A unified bayesian PSO and BiGRU approach for precise history matching under uncertainty,2024,This research focuses on optimizing geothermal reservoir  in the context of geothermal  resource development under uncertainties.  Validation using a 3D fractured geothermal reservoir,Geothermics,"['J Ullah', 'H Li', 'P Soupios', 'M Ehsan']"
The fluid temperature prediction with hydro-geochemical indicators using a deep learning model: A case study Western Anatolia (Turkey),2019,"reach geothermal reservoir in a geothermal field. Nowadays, developing technology may  give a chance to predict geothermal reservoir temperatures with less cost at geothermal fields.",43rd Workshop on Geothermal …,"['FST Haklidir', 'M Haklidir']"
Sensor fault detection and recovery methodology for a geothermal heat exchanger,2018,"system as can be a geothermal heat exchanger installed as part of  This section gives the  description of the geothermal  the energy from the ground (the geothermal exchanger), and the",… Artificial Intelligent …,"['H Alaiz-Moretón', 'JL Casteleiro-Roca', 'LF Robles']"
Urban Geothermal Resource Potential Mapping Using Data-Driven Models—A Case Study of Zhuhai City,2024,additional machine learning models and corroborate the causes and mechanisms of the  identified geothermal anomalies for the further exploration of interior geothermal resources.,Sustainability,"['Y Bian', 'Y Ni', 'Y Guo', 'J Wen', 'J Chen', 'L Chen', 'Y Yang']"
Application of artificial intelligence in geotechnical engineering: A state-of-the-art review,2022,Artificial intelligence (AI) methods have been developed and used by an increasing number  of researchers in the field of geotechnical engineering in the last three decades. These,Earth-Science Reviews,"['A Baghbani', 'T Choudhury', 'S Costa', 'J Reiner']"
A COP Prediction Model of Hybrid Geothermal Heat Pump Systems based on ANN and SVM with Hyper-Parameters Optimization,2023,geothermal system was installed. Table 3 shows an overview of the building for geothermal   ranges that may occur during geothermal and hybrid geothermal systems operation. Figure,Applied Sciences,"['J Shin', 'J Lee', 'Y Cho']"
Geological controls on geothermal resources for power generation,2021,high-temperature geothermal reservoirs are mostly  geothermal provinces with existing  geothermal power plants relative to major fault zones and tectonic boundaries. Each geothermal,Nature Reviews Earth & …,"['E Jolie', 'S Scott', 'J Faulds', 'I Chambefort']"
Detecting Abnormal Events in Geothermal Power Plant Time-Series Data Using a Semi-Supervised Machine Learning Approach,2023,"of geothermal  as machine learning and other artificial intelligence tools. In this study, we  investigate potential pump cavitation events in circulating feed pumps deployed in a geothermal",NA,"['PMB Abrasaldo', 'SJ Zarrouk', 'AW Kempa-Liehr', 'A Mudie']"
ANN modeling of an ORC-binary geothermal power plant: simav case study,2014,"The Simav geothermal field is located in the southern part of the Simav Graben system (39   The Simav geothermal area is a large geothermal field in Turkey, with a well heat","Energy Sources, Part A: Recovery, Utilization …","['O Arslan', 'O Yetik']"
Application of Artificial Neural Network to Exergy Performance Analysis of Geothermal Power Plant,2020,"This paper describes an application of a feedforward backpropagation artificial neural network  (ANN), to predict Geothermal Power Plant (GPP) Unit 3 Ulubelu exergy efficiency. Exergy",Proceedings World Geothermal …,['PTPGEA Ulubelu']
Intelligent Detection of SEM Mineralogy Using Dynamic Segmentation Algorithm in Geothermal Sedimentary Reservoir: Case Study with Quantification of Quartz …,2023,To thoroughly comprehend the characteristics of geothermal  of the sedimentary geothermal  reservoirs’ microstructure. This  computer vision and machine learning algorithms for the,SPE Asia Pacific Oil and Gas Conference and …,"['A Andaru', 'S Sausan']"
Ensemble Machine Learning for Real-Time Sonic Log Prediction in Geothermal Exploration,2024,ensemble machine-learning  machine learning in the prediction of sonic logs and helps  provide other associated inferences that can guide the decision-making process for geothermal,SPE Nigeria Annual …,"['U Anthonio', 'N Okereke', 'N Vincent']"
Multi-objective integrated optimization of geothermal heating system with energy storage using digital twin technology,2024,"This indicates that intelligent technology is an effective means of enhancing the energy  sustainability of geothermal heating systems, and the use of geothermal energy as a clean",Applied Thermal …,"['Y Guo', 'Q Tang', 'J Darkwa', 'H Wang', 'W Su']"
A Deep-Learning Framework for the Optimization of CO2 Plume Geothermal Power Production-A Pathway to Carbon Net-Zero,2024,"Compared to traditional geothermal concepts, CPG is unique to do so using traditional  geothermal methods. For the  CO2 generation and injection for geothermal energy production. The",Offshore Technology …,"['K Katterbauer', 'Q Abdulaziz', 'A Al Shehri']"
Quality analysis of machine learning methods applied to the geothermal potential assessment: a case study,2024,"With the development of artificial intelligence, machine learning (ML) can provide practical  and  indicators of geothermal areas, combined with ML and artificial intelligence methods, to","Energy Sources, Part A …","['X Cheng', 'W Qiao', 'D Hu', 'Z Qi', 'P Feng']"
Modeling of geothermal tailored CCHP system with heat recovery centered thermal design/analysis; ANN-based optimization and economic study,2024,", heat, and cooling system reliant on geothermal energy. The process involves integrating  both  By utilizing a genetic algorithm in conjunction with an artificial intelligence algorithm, the",Case Studies in Thermal …,"['W Ling', 'AM Abed', 'N Farouk', 'Y Fouad']"
Artificial neural network-based optimization of geothermal power plants,2021,"In parallel, artificial intelligence applications are increasing exponentially in the field of   [15] tried to develop a short-term wind energy estimation method using artificial intelligence",… Analysis and Optimization of Geothermal …,"['G Çetin', 'O Özkaraca', 'A Keçebaş']"
Estimating temperature distributions in geothermal areas using a neuronet approach,2006,"In estimating the temperature distribution in a generic geothermal area we used one of  the ‘learning-with-a-teacher methods’, ie, the error back-propagation (BP) technique (Rumelhart",Geothermics,['VV Spichak']
Modeling geothermal energy potential zones in the Bertoua region and surroundings with machine learning using descent gradient based on linear-regression model …,2024,"geothermal energy one of the pillars of the country’s development. The present study aims to  access geothermal  The various maps of Curie depth, geothermal gradient and geothermal",Modeling Earth Systems …,"['TA Chiewo Ceukou', 'MLC Owona Angue']"
Exploring the Synergy: Leveraging Oil and Gas Drilling Solutions for Enhanced Geothermal Drilling,2024,Machine Learning and AI: Further exploration of machine learning and artificial intelligence  can enhance the predictive capabilities of digital twins in geothermal drilling. These,… on Geothermal …,"['J Cao', 'J Lye', 'M Gonzalez']"
Fracturing and thermal extraction optimization methods in enhanced geothermal systems.,2023,"Thus, artificial intelligence can be considered for the prediction of production capacity and  obtaining the optimal injection-production scheme, thus promoting geothermal development.",Advances in Geo-Energy …,"['R Yang', 'Y Wang', 'G Song', 'Y Shi']"
Accurately Predicting Quartz Sand Thermal Conductivity Using Machine Learning and Grey-Box AI Models,2023,"that grey-box artificial intelligence models can be used to  in geothermal heat production,  particularly in geothermal reservoirs  In geothermal reservoirs, where a high-temperature fluid is",Geotechnics,"['A Baghbani', 'H Abuel-Naga', 'D Shirkavand']"
Modeling the cereal dryer using geothermal water as heating agent by applying artificial intelligence as an automatic guidance way.,2013,"geothermal energy is still at the beginning in Europe. Still, the existence of some geothermal   The quality of the geothermal resources available in Europe dictates the utilisation of this",NA,"['CV Iancu', 'M Popovici']"
Potential of explainable artificial intelligence in advancing renewable energy: challenges and prospects,2024,"Direct-use geothermal water is used to heat or cool structures such as greenhouses and  industrial operations, whereas geothermal heat pumps use the constant temperature of the",Energy & …,"['VN Nguyen', 'W Tarełko', 'P Sharma', 'AS El-Shafay']"
Modeling the Cereal Dryer Using Geothermal Water as Heating Agent by Applying Artificial Intelligence as an Automatic Guidance Way,2013,"geothermal energy is still at the beginning in Europe. Still, the existence of some geothermal   The quality of the geothermal resources available in Europe dictates the utilisation of this",Natural Resources and Sustainable …,"['I Carmen Violeta', 'P Mariana']"
An Intelligent Regression-Based Approach for Predicting a Geothermal Heat Exchanger's Behavior in a Bioclimatic House Context,2024,"on intelligent regression techniques to predict the output temperature of a geothermal heat   In addition, the optimization of renewable energy systems by means of artificial intelligence (",Energies,"['A Díaz-Longueira', 'M Rubiños', 'P Arcano-Bea']"
An improved capacitance–resistance model for analysing hydrogen production with geothermal energy utilisation,2024,The integration of geothermal and hydrogen energy through  establishment of a geothermal  hydrogen production model  CRM constraints tailor them for geothermal reforming-based,International Journal of …,"['Z Liu', 'M Shi', 'MH Mohammadi', 'H Luo', 'X Yang']"
An insightful multicriteria model for the selection of drilling technique for heat extraction from geothermal reservoirs using a fuzzy-rough approach,2024,"Despite its potential to deliver a consistent supply of electricity on demand, geothermal   heat from geothermal reservoirs. This optimized approach facilitates better access to geothermal",Information …,"['M Sandra', 'S Narayanamoorthy', 'K Suvitha']"
"Sustainability, climate resiliency, and mitigation capacity of geothermal heat pump systems in cold regions",2021,The bottom of the domain is set to a constant upward heat flux to represent the geothermal  flux at the site. Assuming no heat loss at any part of the system other than the heat exchangers,Geothermics,"['AF Gheysari', 'HM Holländer', 'P Maghoul', 'A Shalaby']"
Deep learning based production prediction for an enhanced geothermal system (EGS),2023,the Qiabuqia geothermal field for investigating an optimal selection for simulating sequential  geothermal production. This study provides a profitable reference for the geothermal system,SPE Canadian Energy Technology Conference,"['Z Xue', 'Z Chen']"
"Estimation of subsurface temperatures in the Tattapani geothermal field, central India, from limited volume of Magnetotelluric data and borehole thermograms …",2014,"Available one-dimensional (1D) MT-derived resistivity data and borehole temperature  records from the Tattapani geothermal field, central India, were collated and digitized at 10-m",Earth Interactions,"['AE Akpan', 'M Narayanan', 'T Harinarayana']"
Advanced Geothermal prospectivity mapping with Machine Learning using Multi-model Regression and Geology-dependent Multicriteria-Decision Analysis,2022,"to geothermal energy. In our case study, the goal is to find the best sites for geothermal   aforementioned drawbacks of conventional geothermal prospectivity mapping using MCDA,",Second EAGE …,"['L Lebrun', 'F Delbos', 'PNJ Rasolofosaon']"
Applications of Intelligent Techniques in Modeling Geothermal Heat Pumps: An Updated,2022,utilization of intelligent techniques in modeling performance of geothermal heat pumps are  reviewed. The main findings of the reviewed works reveal that intelligent techniques are able,NA,['K Almutairi']
Enhanced Precision in Geothermal Reservoir Characterization and Exploitation,2019,and artificial intelligence (AI) algorithms can play a critical role in all phases of geothermal   for exploiting our nation’s vast geothermal resources. This development framework could be,NA,"['KE Aikin', 'CE Johnson']"
Inverting methods for thermal reservoir evaluation of enhanced geothermal system,2018,"With the development of computer technology and artificial intelligence technology, some  non-gradient optimization methods were introduced to study inverse heat transfer problem,",Renewable and sustainable energy reviews,"['G Liu', 'B Zhou', 'S Liao']"
"Predicting Reservoir Temperature of Geothermal Systems in West Anatolia, Turkey: A Focus on Predictive Performance and Explainability of Machine Learning …",2022,geothermal energy. This study aimed at developing five machine learning models to predict   reservoir temperature using a hydrogeochemical dataset from the West Anatolia geothermal,… of Machine Learning …,"['B Ibrahim', 'JO Konduah', 'I Ahenkorah']"
Enhanced Geothermal Site Characterization Using Generative Adversarial Network and Ensemble Method,2024,method for characterizing a geothermal site. Wasserstein Gen the permeability field of the  geothermal site. The MATLAB  geothermal site characterization with reasonable accuracy.,ARMA US Rock Mechanics/Geomechanics …,"['J Bao', 'J Lee', 'H Yoon']"
Thermodynamic optimization of a geothermal-based organic Rankine cycle system using an artificial bee colony algorithm,2017,geothermal power plants are typically used for these applications. A basic binary geothermal  power plant operates a geothermal fluid ( Geothermal brine heats the organic working fluid (,Energies,"['O Özkaraca', 'P Keçebaş', 'C Demircan', 'A Keçebaş']"
Feasibility of Optimum Energy Use and Cost Analyses by Applying Artificial Intelligence and Genetic Optimization Methods in Geothermal and Solar Energy-Assisted …,NA,"geothermal power plant due to the region's 102 low-temperature and liquid-weighted geothermal   geothermal systems, the binary cycle uses a secondary fluid with a lower boiling point",Available at SSRN 4763405,"['C Yilmaz', 'O Sen']"
Unsupervised AI workflow to evaluate the transition of the 50-year giant Groningen gas field quickly and thoroughly to potential multiple CO2 storage and geothermal …,2022,"geothermal project evaluation. In this paper, we detail the use of a new unsupervised Artificial  Intelligence  After 3 minutes of processing by the artificial intelligence, we could display all",Energy in Data …,"['B Laugier', 'A Aming', 'L Lhommet', 'A Thomas']"
GaS_GeoT: A computer program for an effective use of newly improved gas geothermometers in predicting reliable geothermal reservoir temperatures,2021,"Considering the complex nature of the gas–mineral equilibria processes, it is also necessary  to explore new regression tools based on artificial intelligence techniques for calibrating",Geothermal …,"['A Acevedo-Anicasio', 'E Santoyo', 'D Pérez-Zárate']"
The reservoir temperature prediction using hydrogeochemical indicators by machine learning: western Anatolia (Turkey) case,2020,Machine learning (ML) is a data analytics technology  geothermal reservoir temperatures  based on the hydro-geochemistry data. We defined three main categories for the geothermal,Proceedings World Geothermal …,"['FST Haklıdır', 'M Haklıdır']"
Various criteria in optimization of a geothermal air conditioning system with a horizontal ground heat exchanger,2010,Thermodynamic and thermoeconomic optimization of a horizontal geothermal air conditioning   An artificial intelligence technique known as evolutionary algorithm has been utilized for,International Journal of Energy …,"['H Sayyaadi', 'EH Amlashi']"
Machine learning automatic picker for geothermal microseismicity analysis for practical procedure to reveal fine reservoir structures,2024,"However, seismic networks and events in geothermal fields have features that differ from   geothermal fields. We used microseismic data from four representative enhanced geothermal",Geothermics,"['K Okamoto', 'Y Mukuhira', 'D Darisma', 'H Asanuma']"
Multivariate Data Quality Relationships of Geothermal Facilities for Increased Efficiency in Digital Operations,2022,This paper demonstrates how fully validated signal data from geothermal facility sensors   and will fool future algorithms designed to automate or maintain the geothermal process.,Offshore Technology Conference,"['G Sanchez', 'J Reitmeier']"
Thermodynamic evaluation of the Afyon geothermal district heating system by using neural network and neuro-fuzzy,2012,"In this study, energy and exergy analysis of the Afyon geothermal district heating system (AGDHS)  in Afyon, Turkey using artificial neural network (ANN) and adaptive neuro-fuzzy (",Journal of volcanology and geothermal research,"['AŞ Şahin', 'H Yazıcı']"
BIOMASS/GEOTHERMAL POWER STATION ENERGY MANAGEMENT COMPUTER PROGRAM USING ARTIFICIAL NEURAL NETWORKS,2021,and geothermal power plants was created using artificial neural networks. Biomass/geothermal   The ANN is an artificial intelligence technology that enables the successful solution of,vol,['M Zile']
A Probabilistic Approach to Model and Optimize Geothermal Drilling,NA,", a DOE National Laboratory and four Geothermal and Oil and Gas companies from several   different geothermal fields to develop a continuous optimization framework for geothermal",NA,"['R Rallo', 'R Carbonari', 'D Ton', 'R Ashari', 'P Ashok']"
Machine Learning-Based Rock Facies Prediction Using Geothermal Data: A Comparative Analysis of Algorithms,NA,"machine learning algorithms in the context of rock facies prediction. This research has  significant implications for geology and geothermal  By leveraging machine learning, we can",NA,"['Z Hu', 'C Vivas', 'S Salehi', 'O Khankishiyev']"
Machine learning and a process model to better characterize hidden geothermal resources,2022,Geothermal is a growing renewable energy resource that can be utilized 24 hours a day  without shutting off a geothermal  of geothermal studies due to its high geothermal potential,2022 Geothermal …,"['B Ahmmed', 'VV Vesselinov', 'E Rau']"
Multi-variable study/optimization of a novel geothermal-driven poly-generation system: application of a soft-computing intelligent procedure and MOGWO,2023,"It was found that the most influential parameter affecting the performance metric was the  geothermal water inlet temperature. Besides, the second scenario, ie, exergy efficiency/total",Process Safety and …,"['MA Haghghi', 'Z Mohammadi', 'M Delpisheh']"
… autoencoder neural network and Bayesian inversion to estimate heterogeneous permeability distributions in enhanced geothermal reservoir: Model development and …,2021,"right for all geothermal systems, but just represented a general case in this study to test the  proposed methodology. The permeability in the enhanced geothermal reservoir was often",Geothermics,"['Z Jiang', 'S Zhang', 'C Turnadge', 'T Xu']"
Α new void fraction correlation inferred from artificial neural networks for modeling two-phase flows in geothermal wells,2012,"In this work, an application of artificial neural networks (ANN) has been carried out to  develop a new void fraction correlation for modeling two-phase flow in geothermal wells. ANN",Computers & Geosciences,"['AA Del Castillo', 'E Santoyo']"
Role of artificial intelligence in renewable energy and its scope in future,2022,"of Artificial Intelligence, highlighting the importance of penetrating literature. Artificial Intelligence   The ability of AI techniques combined via sensor and the robot for the geothermal well",2022 5th …,"['A Ashfaq', 'M Kamran', 'F Rehman']"
Expertise in Complex-Well Construction Leveraged for Geothermal Wells,2023,"In the complete paper, deep closed-loop geothermal systems (DCLGS) are introduced as  an alternative to traditional enhanced geothermal systems (EGS) for green energy production",Journal of Petroleum Technology,['C Carpenter']
The Application of Dynamic Risk Management to a Geothermal Setting,NA,,NA,"['R Hutchins', 'D Holbrough']"
Machine Learning-Based Power Density Prediction for Binary Cycle Geothermal Power Generation in Japan,NA,"machine learning (ML) techniques in introduction potential estimation for binary cycle  geothermal  The database includes geothermal reserves, introduction potentials, and vertical",NA,['H Mochinaga']
Thermodynamic analysis and optimization of a geothermal Kalina cycle system using Artificial Bee Colony algorithm,2016,"total heating needs is supplied by geothermal energy [2]. Organic  The first geothermal Kalina  cycle employed in a power plant  In this study, we have chosen a geothermal Kalina cycle",Renewable Energy,"['H Saffari', 'S Sadeghi', 'M Khoshzat', 'P Mehregan']"
… /energy supply through geothermal-centered layout tailored with humidification-dehumidification desalination unit; Optimized by regression machine learning …,2024,"based on geothermal energy to produce freshwater, power, and heating. This study  applied regression machine learning techniques to investigate and optimize a geothermal tri-",Energy,"['S Li', 'Y Leng', 'R Chaturvedi', 'AK Dutta', 'BS Abdullaeva']"
Physics-guided deep learning for prediction of geothermal reservoir performance,2022,geothermal reservoirs. Traditional physics-based simulation models that are often used for  predicting the performance of geothermal  physics-informed machine learning approach that,NA,"['D Faulder', 'TT Cladouhos']"
Deep learning-based inversion framework by assimilating hydrogeological and geophysical data for an enhanced geothermal system characterization and thermal …,2024,"Enhanced geothermal systems (EGS), which are developed by creating artificial fractures  to  However, due to the limited wells in deep depth, characterizing fractured geothermal",Energy,"['C Chen', 'Y Deng', 'H Ma', 'X Kang', 'L Ma', 'J Qian']"
… Geothermal Sumatera Utara Menggunakan Artificial Neural Network Stuck Pipe Detection for North Sumatera Geothermal Drilling Operation Using Artificial …,NA,Although researches have been made to build systems employing artificial intelligence (AI)   done for geothermal drilling operations. This paper describes a study that employed Artificial,NA,['A Jaya']
ANN based optimization of supercritical ORC-Binary geothermal power plant: Simav case study,2011,"In this study, supercritical ORC-Binary was optimized in the Simav geothermal field by using  ANN tool. In the present study, the back-propagation learning algorithm with three different",Applied Thermal Engineering,"['O Arslan', 'O Yetik']"
Control methodologies based on geothermal recirculating aquaculture system,2014,The use of artificial intelligence has become more common in industrial and manufacturing  process control systems in recent years. The advantages of AI systems include: (1) the rapid,Energy,"['HM Farghally', 'DM Atia', 'HT El-Madany', 'FH Fahmy']"
Using Machine Learning Algorithms to predict Geothermal wells with the help of Surface Temperature,NA,,NA,['KSAMM Shah']
Deep learning-based approach to R-134a bubble detection and analysis for geothermal applications,2023,"geothermal energy cannot be exploited. Another factor is the relatively low temperature of the  geothermal  a specialised subset of machine learning, a subset of artificial intelligence (AI).",Case Studies in Thermal …,"['M Ahmed', 'A Habib', 'MM Nawal', 'MMH Saikot']"
Recent advances in geothermal energy reservoirs modeling: Challenges and potential of thermo-fluid integrated models for reservoir heat extraction and geothermal …,2023,"of geothermal plants are presented. Moreover, a critical review of geothermal reservoir   transfer extraction of geothermal wells, geothermal reservoirs, and geothermal energy piles are",Journal of Energy Storage,"['ME Zayed', 'B Shboul', 'H Yin', 'J Zhao']"
"Estimation of fracture stiffness, in situ stresses, and elastic parameters of naturally fractured geothermal reservoirs",2015,"well patterns and enhanced geothermal systems. In this paper, an artificial neural network  (ANN) from borehole displacements during drilling in naturally fractured geothermal reservoirs.",International Journal of Geomechanics,"['S Zhang', 'S Yin', 'Y Yuan']"
Data fusion and machine learning for geothermal target exploration and characterisation,2014,"main conference in artificial intelligence, the International Joint Conference on Artificial  Intelligence (IJCAI) and in the world-‐class Stanford Geothermal Workshop, the premier venue",NA,['G Beardsmore']
Correlation of aerogravity and BHT data to develop a geothermal gradient map of the northern western desert of Egypt using an artificial neural network,2015,"studies have focused on its geothermal potential. Thus, the present study aims to shed  more light on the geothermal resources and to develop a new geothermal gradient map of the",Pure and Applied …,"['HS Mohamed', 'M Abdel Zaher', 'MM Senosy']"
"Optimal design, operational controls, and data-driven machine learning in sustainable borehole heat exchanger coupled heat pumps: Key implementation challenges …",2023,"; artificial Intelligence; district heating systems, adaptive control optimization, shallow geothermal  systems, deep machine learning  -driven AI methods in geothermal based heating and",Energy for Sustainable …,"['N Ahmed', 'M Assadi', 'AA Ahmed', 'R Banihabib']"
Asset Re-Purposing Feasibility for Geothermal Energy Production in Ukraine,2024,The components are evaluated using artificial intelligence (AI) algorithms that reduce  bias in the decision-making process and incorporate a blockchain framework to ensure,SPE Europec featured …,"['R Nye', 'AD Schiuma', 'M Yan', 'C Mejia']"
Controlling earthquake-like instabilities using artificial intelligence,2021,"seismicity from industrial projects (eg, during geothermal energy and hydrocarbons production  or CO2 squestration) [3, 4, 5, 6]. Advances in artificial intelligence (AI) over the last years",arXiv preprint arXiv:2104.13180,"['E Papachristos', 'I Stefanou']"
"Artificial intelligence in oil and gas upstream: Trends, challenges, and scenarios for the future",2021,We analyze how artificial intelligence changes a significant  the intensive application of  artificial intelligence in the oil and  scenarios of how artificial intelligence will develop in the oil,Energy and AI,"['D Koroteev', 'Z Tekic']"
Stuck pipe prediction in geothermal well drilling at darajat using statistical and machine learning application,2020,"In the past five years, the use of artificial intelligence has helped in predicting problems in  drilling geothermal wells in predicting drill cutting in slope and horizontal angle of drilling [14].",Proceedings of the 3rd Asia Pacific Conference …,"['M Bayan', 'Zulkarnain']"
Subsurface characterization and machine learning predictions at brady hot springs,2021,Machine learning (ML) techniques are applied in this work to the Brady Hot Springs (BHS)  geothermal  help solve optimization problems for geothermal power plants and leverage time,NA,"['KF Beckers', 'D Duplyakin', 'MJ Martin', 'HE Johnston']"
